sku_id,sku_description,client_id,lot_number,storage_req,unit_of_measure,length,width,height,weight
AC10001,Front disc brake,AMB,NA,Regular,EA,1,1,1,1
AC10002,Rear disc brake,AMB,NA,Regular,EA,1,1,1,1
AC10003,Tektro disc brake E 500 hydraulic,AMB,NA,Regular,EA,1,1,1,1
AC10004,handle bar,AMB,NA,Regular,EA,1,1,1,1
AC10005,Stem,AMB,NA,Regular,EA,1,1,1,1
AC10006,Grips - Large,AMB,NA,Regular,EA,1,1,1,1
AC10007,shifter,AMB,NA,Regular,EA,1,1,1,1
AC10008,Outer 7-speed derailleur,AMB,NA,Regular,EA,1,1,1,1
AC10009,Outer 8-speed derailleur,AMB,NA,Regular,EA,1,1,1,1
AC10010,Free Wheel/Cassette sprocket,AMB,NA,Regular,EA,1,1,1,1
AC10012,brake wire,AMB,NA,Regular,EA,1,1,1,1
AC10013,1:1 assistance Sensor,AMB,NA,Regular,EA,1,1,1,1
AC10014,controller(Q7-9.S73),AMB,NA,Regular,EA,1,1,1,1
AC10015,chain wheel /crank,AMB,NA,Regular,EA,1,1,1,1
AC10016,Tire set 26*4.0 kenda,AMB,NA,Regular,EA,1,1,1,1
AC10017,Tube set,AMB,NA,Regular,EA,1,1,1,1
AC10018,Rims,AMB,NA,Regular,EA,1,1,1,1
AC10019,charger,AMB,NA,Regular,EA,1,1,1,1
AC10020,Chain,AMB,NA,Regular,EA,1,1,1,1
AC10021,Pedal,AMB,NA,Regular,EA,1,1,1,1
AC10022,Side Stand,AMB,NA,Regular,EA,1,1,1,1
AC10023,Saddle post,AMB,NA,Regular,EA,1,1,1,1
AC10024,velo seat,AMB,NA,Regular,EA,1,1,1,1
AC10025,Headlight,AMB,NA,Regular,EA,1,1,1,1
AC10026,750W bafang rear motor,AMB,NA,Regular,EA,1,1,1,1
AC10027,1000W bafang ultra mid motor set include controller.display(S30-5),AMB,NA,Regular,EA,1,1,1,1
AC10028,1000W bafang BBSHD mid motor set include controller.display(Q7-6-1),AMB,NA,Regular,EA,1,1,1,1
AC10029,48V 11.6ah samsung lithium battery,AMB,NA,Regular,EA,1,1,1,1
AC10030,48V 14.5ah samsung lithium battery,AMB,NA,Regular,EA,1,1,1,1
AC10031,Display SW900 - Small,AMB,NA,Regular,EA,1,1,1,1
AC10032,fenders,AMB,NA,Regular,EA,1,1,1,1
AC10033,Spokes front,AMB,NA,Regular,EA,1,1,1,1
AC10034,Spokes rear,AMB,NA,Regular,EA,1,1,1,1
AC10035,rear racks,AMB,NA,Regular,EA,1,1,1,1
Q305001,Q30-5  Black,AMB,NA,Regular,EA,61.42,13.39,37.8,99.21
Q305002,Q30-5 Charcoal,AMB,NA,Regular,EA,61.42,13.39,37.8,99.21
Q305003,Q30-5 Camo,AMB,NA,Regular,EA,61.42,13.39,37.8,99.21
Q761001,Q7-6-1 Black,AMB,NA,Regular,EA,62,13.78,34.65,99.21
Q761002,Q7-6-1 Charcoal,AMB,NA,Regular,EA,62,13.78,34.65,99.21
Q761003,Q7-6-1 Camo,AMB,NA,Regular,EA,62,13.78,34.65,99.21
